x,y,pitchType,pitchTypeFull,type,Vel,HorzBrk,IndVertBrk,RelX,RelZ,StuffPlus
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
0,,UN,,,-,-,-,-,-,97
1.490583529,0.7698310961,FA,Fastball,Fastball,96.4,4,10.5,-1.5,6.4,74
-2.01384,-0.7132767073,FA,Fastball,Fastball,94.2,1.9,5.3,-1.4,6.3,80
1.435341176,0.1431201947,FA,Fastball,Fastball,93.3,0.7,7.8,-2,6.2,72
2.022268235,0.7932824599,FA,Fastball,Fastball,95.1,0.2,13.7,-2,6.2,80
-1.776776471,0.5355067248,FA,Fastball,Fastball,94.4,-1.7,6.5,-1.6,6.2,78
-0.737736,0.1945156321,FA,Fastball,Fastball,95,0.4,10.5,-1.9,6.2,76
-2.256197647,-0.389966059,FA,Fastball,Fastball,95.5,-2.6,10.7,-1.5,6.3,80
1.084506353,2.069029457,FA,Fastball,Fastball,95.4,-0.6,7.1,-1.9,6.1,81
-1.27836,-1.730030779,FA,Fastball,Fastball,95.3,-0.8,10.1,-2,6.1,78
-0.3563322353,1.781090805,FA,Fastball,Fastball,96.9,-0.9,11.1,-1.5,6.3,82
0.9844051765,0.5562342713,FA,Fastball,Fastball,95,1.4,11.7,-1.6,6.2,75
0.2736028235,0.3969275874,FA,Fastball,Fastball,95.4,-1.8,6.9,-1.7,6.2,82
-0.6547524706,0.2530375875,FA,Fastball,Fastball,96.4,1.8,6.8,-1.4,6.2,85
1.058392941,-0.2485992657,SL,Slider,Slider,87,-9.7,-3.9,-1.6,6.2,128
0.09784432941,-0.1620280597,SL,Slider,Slider,87.1,-9.8,2.9,-1.5,6.2,123
1.178527059,1.451594292,SL,Slider,Slider,88.1,-7.4,-3.3,-1.4,6.2,126
2.442084706,2.381304116,FA,Fastball,Fastball,97.1,-0.1,11.2,-1.4,6.3,82
0.9498296471,0.6828528039,FA,Fastball,Fastball,96.7,-2.4,11.8,-1.7,6.2,82
-1.158998118,-0.2430262443,FA,Fastball,Fastball,96.3,2.4,8.2,-1.4,6.2,81
0.8579844706,0.8424901078,FA,Fastball,Fastball,96.7,1.3,9.3,-1.6,6.2,81
0.8418070588,1.218490498,FA,Fastball,Fastball,96.2,2.9,10.9,-1.8,6.2,75
-0.9633656471,0.3657100121,FA,Fastball,Fastball,96,-2.3,7.4,-1.4,6.1,83
-0.2619134118,0.04518207836,FA,Fastball,Fastball,96.7,-0.3,7.7,-1.3,6.2,85
0.9530512941,0.1295059726,FA,Fastball,Fastball,94.4,3.3,5.4,-1.7,6.4,80
0.5976832941,-0.7701554693,SL,Slider,Slider,87.3,-10,-0.6,-1.7,6.1,123
0.9852578824,-0.1111701673,FA,Fastball,Fastball,95.9,0.9,7.1,-1.6,6.2,83
2.203002353,0.7996693338,FA,Fastball,Fastball,96.9,-1.1,9.7,-1.4,6.2,83
-1.089598588,-0.6134132671,FA,Fastball,Fastball,96.1,-0.3,8.7,-1.4,6.2,82
-0.9597261176,1.014696438,FA,Fastball,Fastball,96.3,0.7,10,-1.1,6.4,80
-0.7252602353,-0.04103384995,FA,Fastball,Fastball,96.8,0.1,7.4,-1.3,6.2,87
0.7040908235,1.444243273,FA,Fastball,Fastball,96.1,-4.1,7.4,-1.2,6.4,84
-2.198103529,-1.445335986,FA,Fastball,Fastball,96.2,-2.1,8.8,-1.3,6.2,83
0.4662974118,0.4815381882,FA,Fastball,Fastball,95.8,-1.5,8.2,-1.5,6.2,82
-1.011022588,0.1286021482,FA,Fastball,Fastball,97,1,7.5,-1.5,6.3,87
1.848451765,-0.1295615847,FA,Fastball,Fastball,94.6,-0.5,9.6,-1.6,6.3,76
0.08369181176,-0.9866457229,FA,Fastball,Fastball,94.4,1,10.1,-1.6,6.2,74
-0.409416,-0.5913784394,FA,Fastball,Fastball,94.2,1,6.9,-1.6,6.2,77
-0.3576098824,-0.1380499439,FA,Fastball,Fastball,95.1,3.7,8.8,-1.6,6.2,74
-0.05207816471,-0.29762692,FA,Fastball,Fastball,96.1,-3.2,9.6,-1.5,6.2,82
-0.588336,-1.251037752,CH,Changeup,Changeup,93.2,9.5,5.1,-1.6,5.8,88
-1.730301176,-0.08370565177,FA,Fastball,Fastball,95.9,-0.5,8.6,-1.4,6.2,81
0.1458988235,-0.2469264622,FA,Fastball,Fastball,94.8,-3,4.5,-1.6,6,82
0.7174630588,-0.3033631722,FA,Fastball,Fastball,95.7,-2,6.8,-1.8,6.1,83
0.3436828235,-1.181949869,CH,Changeup,Changeup,91.5,4.9,7.6,-1.8,5.7,73
-1.204894588,-0.08803474644,FA,Fastball,Fastball,96,-3.7,9.9,-1.3,6.2,81
-0.5567887059,-1.062598578,FA,Fastball,Fastball,96.2,3.3,10.1,-1.5,6.2,76
1.018493647,0.8635325032,FA,Fastball,Fastball,95.2,-2.6,9.5,-1.5,6.2,79
-0.01579609412,-0.06548938286,FA,Fastball,Fastball,96.2,1.2,4.2,-1.5,6,92
-0.4929162353,-2.688801705,SL,Slider,Slider,85.5,-4.4,-4,-1.7,6,109
-1.574978824,-1.161567937,SL,Slider,Slider,86.1,-16.6,-2.8,-1.7,6,140
-0.5199501176,-0.3045914747,FA,Fastball,Fastball,95.6,0.6,7,-1.5,6.1,82
-1.178690824,-0.2143551824,SL,Slider,Slider,85.7,-13.8,-2.4,-1.8,5.9,132
-1.821797647,-2.197793056,SL,Slider,Slider,87.9,-16.2,1.4,-1.6,6,136
-0.1559463529,-0.6983258595,FA,Fastball,Fastball,94.5,-0.8,8.8,-1.6,6.2,76
-1.167842824,-0.645549888,FA,Fastball,Fastball,94.4,-0.6,9.1,-1.5,6.2,76
2.017538824,1.638696311,FA,Fastball,Fastball,93.9,-3,6,-1.4,6.3,76
-0.63564,0.7894868869,FA,Fastball,Fastball,94.8,-3.9,10.9,-1.2,6.2,79
-2.334705882,-1.700826918,SL,Slider,Slider,86.1,-12.2,-4.4,-1.4,6,128
-0.9675614118,-1.606287915,SL,Slider,Slider,86.3,-9.4,-1.2,-1.4,6,118
-0.9120592941,-1.531341221,SL,Slider,Slider,85.4,-10.5,-5.1,-1.6,6,118
1.313496,0.2979394252,FA,Fastball,Fastball,94.5,3.6,2.6,-1.7,6,90
-2.269524706,-0.999482714,FA,Fastball,Fastball,95.1,0.5,5.3,-1.3,6.1,84
1.499590588,0.1379520753,FA,Fastball,Fastball,93.7,1.8,6.8,-1.9,6,75
0.9711783529,-1.12204735,FA,Fastball,Fastball,93.4,4,8.3,-2,6.1,70
-1.077921882,0.5755519087,FA,Fastball,Fastball,90.6,-0.1,5.5,-2,5.9,70
-0.8534230588,0.6789077564,FA,Fastball,Fastball,92.8,-3,5.8,-1.8,5.9,72
0.4246108235,0.8277986253,FA,Fastball,Fastball,91.6,-0.8,6.6,-2.1,5.7,69
3.691750588,2.768206545,FA,Fastball,Fastball,95.1,1.4,13.6,-1.5,6.2,78
-2.336978824,-0.9821090543,FA,Fastball,Fastball,93.9,-6.3,5.2,-1.5,6.1,74
-0.5717957647,-1.223929014,FA,Fastball,Fastball,95.3,-0.1,7.9,-1.4,6.1,79
0.3101392941,-0.5342321449,CH,Changeup,Changeup,90.9,9,8,-1.7,5.8,62
0.2046536471,0.4726876144,FA,Fastball,Fastball,93.6,0.5,7.5,-1.4,6.2,73
1.839049412,1.282878412,FA,Fastball,Fastball,94.4,-0.4,7.4,-1.6,6.2,77
-0.4705863529,-0.3779478881,FA,Fastball,Fastball,93.8,-1,9.9,-1.2,6.2,74
0.8588145882,-0.6341856627,CH,Changeup,Changeup,90,13.1,10.1,-1.7,6,39
-2.687294118,-1.729696638,SL,Slider,Slider,85.5,-13.3,-2.5,-1.7,6,128
0.6537952941,0.6120942923,FA,Fastball,Fastball,94.8,-1.8,12.3,-1.5,6.2,79
-0.1969341176,1.541635199,FA,Fastball,Fastball,94.3,-2.3,10.4,-1.4,6.1,77
-0.4490950588,0.4547617978,FA,Fastball,Fastball,94.9,-2.2,15.4,-1.4,6.2,87
-1.639341176,-0.7456102252,CH,Changeup,Changeup,88.5,4.2,4.6,-1.7,5.8,92
-0.7002945882,-0.1785438886,FA,Fastball,Fastball,95.4,-4.5,6.8,-1.1,6.2,81
-0.9704442353,-0.5572469875,FA,Fastball,Fastball,94.9,1.5,10.7,-1.3,6.3,75
0.2284574118,0.2955874496,FA,Fastball,Fastball,95.7,-0.8,8.7,-1.4,6.2,80
-0.1892188235,0.8650010267,FA,Fastball,Fastball,95.8,-0.5,10.3,-1.4,6.2,79
